ID / Category,Name,Type,Description,Path,Status / Version (Inferred),Source
/startup,Startup Workflow,Workflow,"Executes initial session procedures including reading the Playbook, REGELWERK, and BLAUPAUSE.",.agents/workflows/startup.md,Active/R31 compliant,"[1, 2]"
/build,Build Workflow,Workflow,General build process for project components.,.agents/workflows/build.md,Active/R31 compliant,"[1, 2]"
/create-module,Create Module Workflow,Workflow,Standardized process for creating new dashboard modules.,.agents/workflows/create-module.md,Active/R31 compliant,"[1, 2]"
/audit-module,Audit Module Workflow,Workflow,Reviews and audits existing modules for compliance and quality.,.agents/workflows/audit-module.md,Active/R31 compliant,"[1, 2]"
/debug2,Debug Workflow,Workflow,Secondary debugging procedures for complex system issues.,.agents/workflows/debug2.md,Active/R31 compliant,"[1, 2]"
/system-check,System Check Workflow,Workflow,Comprehensive ecosystem health and status verification.,.agents/workflows/system-check.md,Active/R31 compliant,"[1, 2]"
/chrome-extension,Chrome Extension Workflow,Workflow,Procedures for developing and deploying the DkZ Hub Chrome extension.,.agents/workflows/chrome-extension.md,Active/R31 compliant,"[1, 2]"
/css-template,CSS Template Workflow,Workflow,Generates and applies standardized DkZ Design System v2 CSS.,.agents/workflows/css-template.md,Active/R31 compliant,"[1, 2]"
/feature-registry,Feature Registry Workflow,Workflow,Updates features.json and REGISTRY.json for new or modified features.,.agents/workflows/feature-registry.md,Active/R31 compliant,"[1, 2]"
/fix-symbols,Fix Symbols Workflow,Workflow,Corrects character encoding and symbol consistency across files.,.agents/workflows/fix-symbols.md,Active/R31 compliant,"[1, 2]"
/git-after-every-step,Git Automation Workflow,Workflow,Enforces Rule 2: Automatic Git commits after every modification.,.agents/workflows/git-after-every-step.md,Active/R31 compliant,[1-3]
/react-to-vanilla,React-to-Vanilla Conversion,Workflow,Converts React codebases into compliant Vanilla JS components.,.agents/workflows/react-to-vanilla.md,Active/R31 compliant,"[1, 2]"
/ssh-connect,SSH Connection Workflow,Workflow,Manages secure SSH connections to Hostinger KVM 8 servers.,.agents/workflows/ssh-connect.md,Active/R31 compliant,"[1, 2]"
/server-health,Server Health Workflow,Workflow,"Monitors CPU, RAM, and uptime for server infrastructure.",.agents/workflows/server-health.md,Active/R31 compliant,"[1, 2]"
/docker-manage,Docker Management Workflow,Workflow,Handles container orchestration for n8n and other services.,.agents/workflows/docker-manage.md,Active/R31 compliant,"[1, 2]"
/n8n-deploy,n8n Deployment Workflow,Workflow,Automates the deployment of n8n workflows to the server.,.agents/workflows/n8n-deploy.md,Active/R31 compliant,"[1, 2]"
/cloudflare-setup,Cloudflare Setup Workflow,Workflow,"Configures DNS, SSL, and security layers via Cloudflare.",.agents/workflows/cloudflare-setup.md,Active/R31 compliant,"[1, 2]"
/notebooklm,NotebookLM Content Workflow,Workflow,"Orchestrates the creation of reports, slides, and audio via the nlm CLI.",.agents/workflows/notebooklm.md,Active/R31 compliant,"[1, 2]"
/download-prompt-dbs,Prompt DB Download Workflow,Workflow,Synchronizes local prompt templates with remote databases.,.agents/workflows/download-prompt-dbs.md,Active/R31 compliant,"[1, 2]"
changelog-generator,Changelog Generator,Skill,Transforms Git commit history into formatted Release Notes.,.agents/skills/changelog-generator/,Active/R31 compliant,"[1, 2]"
hostinger-kodee,Hostinger Kodee,Skill,Automates API requests and management for Hostinger hosting.,.agents/skills/hostinger-kodee/,Active/R31 compliant,"[1, 2]"
mcp-builder,MCP Builder,Skill,Creates Model Context Protocol servers in Python or TypeScript.,.agents/skills/mcp-builder/,Active/R31 compliant,"[1, 2]"
notebooklm-integration,NotebookLM Integration,Skill,Provides connection and syntax for Google NotebookLM automated content.,.agents/skills/notebooklm-integration/,Active/R31 compliant,"[1, 2]"
webapp-testing,Webapp Testing,Skill,Executes Playwright frontend tests for system validation.,.agents/skills/webapp-testing/,Active/R31 compliant,"[1, 2]"
